# PATCH_CATALOG.tsv -- catalogo DERIVADO por gen_catalog.py, NUNCA editado a mao
# regenerar: .venv/bin/python3 games/gow2/lift_baseline/gen_catalog.py ../gow2-recomp/recomp_mid_v2 games/gow2/lift_baseline/MANIFEST.tsv > games/gow2/lift_baseline/PATCH_CATALOG.tsv
# fonte: /Users/andrebrumcortezferreira/Documents/PESSOAL/gow2-recomp/recomp_mid_v2
# 177 patches classificados nesta geracao (99 FUNCIONAL / 78 PROBE), zero indeterminados (D-4.3/D-4.4).
# Linha de base historica (2026-07-26, primeira medicao contra o corpus real): 64 FUNCIONAL / 23 PROBE / 87 total -- corrigiu os 73/71 desactualizados do ROADMAP. Os numeros da linha acima sao os DESTA geracao e sobrepoem-se a estes; qualquer divergencia e' crescimento do corpus, nao erro.
# RECLASSIFICACAO 2026-08-03 (ramo 2b) -- quatro patches passam de FUNCIONAL/misc a PROBE/diagnostico:
#   patch_218364_pool_null_gate.py (PS3_POOL_NULL_IF_BAD), patch_24e3d0_null_product_gate.py (PS3_24E3D0_KEEP_TYPE_ON_NULL),
#   patch_254610_empty_list_gate.py (PS3_LIST254_EMPTY_IF_NULL), patch_2547f8_empty_list_gate.py (PS3_LIST547_EMPTY_IF_BAD).
#   Os quatro abrem o docstring com "GATE DE DIAGNOSTICO (nao e' um fix)" e injectam codigo atras de uma env var OFF por omissao -- sem a
#   var sao no-op comportamental, e o CLAUDE.md (regras 5 e 6) proibe apresenta-los como correccao.
#   MEDICAO que abriu a questao (2026-08-03, por leitura pura dos tres lifts em disco): patch_24e3d0_null_product_gate.py exige
#   count(agulha)==1 por chunk e a agulha `vm_write16(ctx->gpr[9] + 0x6, ctx->gpr[0]);` aparece 38 vezes -- 38 em recomp_macos_v5promo,
#   38 em recomp_macos_v4ord e 38 em recomp_macos_v2 (PRODUCAO). Falha identica nos tres, e o seu marcador 24E3D0-NULLPROD-GATE nunca
#   entrou no MANIFEST.tsv: nao e' divida de re-lift, e' um patch que nunca aplicou a esta geracao de lift. O patch NAO foi corrigido nem
#   apagado -- so' a classificacao estava errada.
#   CUSTO DECLARADO desta regra: raio de 4 patches; os outros 3 estavam APPLIED na etapa 4 de 2026-08-03. Saem do gate por CLASSE, nao por
#   falharem -- e' uma perda de cobertura real, assumida em nome da regra (a classe e' propriedade do comportamento, nao do nome nem da
#   conveniencia do dia). Ver games/gow2/notes/2026-08-03-promocao-final.md.
# patch	escreve	classe	subclasse	no_gate	razao	marcador	chunk_alvo
patch_146cb8_autoload_creator_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)		
patch_14a01c_opd.py	ESCREVE	FUNCIONAL	opd	0	subclasse=opd		
patch_14b1f0_opd.py	ESCREVE	FUNCIONAL	opd	0	subclasse=opd	[WADLD-BATCH]	
patch_17acc_enter_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)	[PS3_17ACC_FN_N]	
patch_1856a8_stream_opd.py	ESCREVE	FUNCIONAL	opd	0	subclasse=opd	[STREAM-OPD]	
patch_210878_alloc_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)		
patch_212ed0_lazyinit_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)		
patch_212ed0_mgrlookup_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)		
patch_212ed0_pop_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)		
patch_2182a4_anchor_live_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)		
patch_2182a4_caller_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)		
patch_2182a4_tocchain_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)		
patch_218340_pool_index_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)		
patch_218364_pool_null_gate.py	ESCREVE	PROBE	diagnostico	1	GATE DE DIAGNOSTICO auto-declarado ("nao e' um fix") com env var OFF por omissao, gate=PS3_POOL_NULL_IF_BAD -- sem a var e' no-op comportamental; ver RECLASSIFICACAO 2026-08-03 no cabecalho		
patch_220284_copyloop_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)		
patch_227788_allocsrc_probes.py	ESCREVE	FUNCIONAL	misc	0	subclasse=misc		
patch_227788_sizeclass_probe.py	ESCREVE	PROBE	diagnostico	1	sufixo _probe/_trace, corpo sem tokens de despacho (diagnostico puro)		
